RUBRIEK;INVENTARISNUMMER;SERIENUMMER;TITLE;WRITER;AANTAL SCANS;STATUS
8;173;KLAF00792;173_KLAF00792;JAN FRANSSEN BRUIJNINGH;110;GT
20;494;A26620;494_A26620;JACOB JANSZ WESTFRISIUS;284;GT
20;509;A21956;509_A21956;JACOB JANSZ WESTFRISIUS;282;GT
48;1165;A14251;1165_A14251;JOOST VAN DE VEN;285;GT
49;1183;NOTG00415;1183_NOTG00415;JAN DE VOS;134;GT
54;1278;A31203;1278_A31203;HENDRIK SCHAEF;212;HTR
54;1279;A30746;1279_A30746;HENDRIK SCHAEF;87;GT
54;1280;A30768;1280_A30768;HENDRIK SCHAEF;199;GT
54;1281;A30761;1281_A30761;HENDRIK SCHAEF;76;GT
54;1282;A30772;1282_A30772;HENDRIK SCHAEF;90;GT
54;1283;A20362;1283_A20362;HENDRIK SCHAEF;142;GT
54;1284;A30708;1284_A30708;HENDRIK SCHAEF;96;GT
54;1285;KLAB05520;1285_KLAB05520;HENDRIK SCHAEF;190;GT
54;1286;KLAB05528;1286_KLAB05528;HENDRIK SCHAEF;50;GT
54;1287;KLAB05564;1287_KLAB05564;HENDRIK SCHAEF;195;HTR
54;1288;KLAB05555;1288_KLAB05555;HENDRIK SCHAEF;72;HTR
54;1289;KLAB05562;1289_KLAB05562;HENDRIK SCHAEF;202;HTR
54;1290;KLAB04784;1290_KLAB04784;HENDRIK SCHAEF;69;HTR
54;1291;KLAB04820;1291_KLAB04820;HENDRIK SCHAEF;210;HTR
54;1292;KLAB04762;1292_KLAB04762;HENDRIK SCHAEF;52;GT
54;1293;KLAB04781;1293_KLAB04781;HENDRIK SCHAEF;241;HTR
54;1294;A26669;1294_A26669;HENDRIK SCHAEF;230;HTR
54;1295;KLAC01164;1295_KLAC01164;HENDRIK SCHAEF;247;HTR
54;1296;KLAB03099;1296_KLAB03099;HENDRIK SCHAEF;247;HTR
54;1297;A30998;1297_A30998;HENDRIK SCHAEF;59;HTR
54;1298;KLAC01212;1298_KLAC01212;HENDRIK SCHAEF;238;HTR
54;1299;KLAC01194;1299_KLAC01194;HENDRIK SCHAEF;55;HTR
54;1300;KLAD01885;1300_KLAD01885;HENDRIK SCHAEF;272;HTR
54;1301;KLAD01840;1301_KLAD01840;HENDRIK SCHAEF;254;HTR
54;1302;KLAD01900;1302_KLAD01900;HENDRIK SCHAEF;55;GT
54;1303;KLAD01899;1303_KLAD01899;HENDRIK SCHAEF;286;HTR
54;1304;KLAD01887;1304_KLAD01887;HENDRIK SCHAEF;297;HTR
54;1305;KLAD01893;1305_KLAD01893;HENDRIK SCHAEF;149;HTR
54;1306;A32698;1306_A32698;HENDRIK SCHAEF;269;HTR
54;1307;KLAD01877;1307_KLAD01877;HENDRIK SCHAEF;148;HTR
54;1308;A24966;1308_A24966;HENDRIK SCHAEF;125;HTR
54;1309;A20373;1309_A20373;HENDRIK SCHAEF;52;HTR
54;1310;A23644;1310_A23644;HENDRIK SCHAEF;326;HTR
54;1311;NOTG00054;1311_NOTG00054;HENDRIK SCHAEF;432;HTR
54;1312;A23645;1312_A23645;HENDRIK SCHAEF;370;HTR
54;1313;A23646;1313_A23646;HENDRIK SCHAEF;243;HTR
54;1314;A23647;1314_A23647;HENDRIK SCHAEF;253;HTR
54;1315;A23648;1315_A23648;HENDRIK SCHAEF;156;HTR
54;1316;A23649;1316_A23649;HENDRIK SCHAEF;108;HTR
54;1317;A23650;1317_A23650;HENDRIK SCHAEF;249;HTR
54;1318;A23651;1318_A23651;HENDRIK SCHAEF;197;HTR
54;1319;A23652;1319_A23652;HENDRIK SCHAEF;179;HTR
54;1320;A23653;1320_A23653;HENDRIK SCHAEF;222;HTR
54;1321;A23654;1321_A23654;HENDRIK SCHAEF;199;HTR
54;1322;A23655;1322_A23655;HENDRIK SCHAEF;229;HTR
54;1323;A23656;1323_A23656;HENDRIK SCHAEF;239;HTR
54;1324;A23657;1324_A23657;HENDRIK SCHAEF;124;HTR
54;1325;A23658;1325_A23658;HENDRIK SCHAEF;242;HTR
54;1326;A23659;1326_A23659;HENDRIK SCHAEF;88;HTR
54;1327;A23660;1327_A23660;HENDRIK SCHAEF;66;HTR
54;1328;A23661;1328_A23661;HENDRIK SCHAEF;46;HTR
54;1329;A20015;1329_A20015;HENDRIK SCHAEF;147;HTR
54;1330;KLAG03343;1330_KLAG03343;HENDRIK SCHAEF;135;HTR
54;1331;KLAD01971;1331_KLAD01971;HENDRIK SCHAEF;60;HTR
54;1332;A33628;1332_A33628;HENDRIK SCHAEF;157;HTR
54;1333;A16607;1333_A16607;HENDRIK SCHAEF;92;HTR
54;1334;A16608;1334_A16608;HENDRIK SCHAEF;75;HTR
54;1335;A16128;1335_A16128;HENDRIK SCHAEF;121;HTR
54;1336;A33621;1336_A33621;HENDRIK SCHAEF;100;HTR
54;1337;A33642;1337_A33642;HENDRIK SCHAEF;104;HTR
54;1338;KLAD02241;1338_KLAD02241;HENDRIK SCHAEF;103;HTR
54;1339;KLAD02233;1339_KLAD02233;HENDRIK SCHAEF;123;HTR
54;1340;KLAD02222;1340_KLAD02222;HENDRIK SCHAEF;117;HTR
54;1341;A33641;1341_A33641;HENDRIK SCHAEF;92;HTR
54;1342;KLAD02194;1342_KLAD02194;HENDRIK SCHAEF;107;HTR
54;1343;KLAD02179;1343_KLAD02179;HENDRIK SCHAEF;106;HTR
54;1344;KLAG05131;1344_KLAG05131;HENDRIK SCHAEF;32;HTR
54;1345;KLAD01958;1345_KLAD01958;HENDRIK SCHAEF;121;HTR
54;1346;A16039;1346_A16039;HENDRIK SCHAEF;107;HTR
54;1347;KLAD01984;1347_KLAD01984;HENDRIK SCHAEF;110;HTR
54;1348;KLAD01959;1348_KLAD01959;HENDRIK SCHAEF;37;HTR
54;1349;KLAD01982;1349_KLAD01982;HENDRIK SCHAEF;104;HTR
54;1350;KLAG05101;1350_KLAG05101;HENDRIK SCHAEF;31;HTR
54;1351;KLAD01930;1351_KLAD01930;HENDRIK SCHAEF;76;HTR
54;1352;A20014;1352_A20014;HENDRIK SCHAEF;103;HTR
54;1353;KLAD01960;1353_KLAD01960;HENDRIK SCHAEF;90;HTR
54;1354;KLAD01983;1354_KLAD01983;HENDRIK SCHAEF;98;HTR
54;1355;A32419;1355_A32419;HENDRIK SCHAEF;142;HTR
54;1356;A32406;1356_A32406;HENDRIK SCHAEF;73;HTR
54;1357;A32396;1357_A32396;HENDRIK SCHAEF;143;HTR
54;1358;A33853;1358_A33853;HENDRIK SCHAEF;148;HTR
54;1359;A16581;1359_A16581;HENDRIK SCHAEF;144;HTR
54;1360;A26673;1360_A26673;HENDRIK SCHAEF;140;HTR
54;1361;A24963;1361_A24963;HENDRIK SCHAEF;147;HTR
54;1362;A26736;1362_A26736;HENDRIK SCHAEF;143;HTR
54;1363;A26720;1363_A26720;HENDRIK SCHAEF;143;HTR
54;1364;A33864;1364_A33864;HENDRIK SCHAEF;141;HTR
54;1365;A33852;1365_A33852;HENDRIK SCHAEF;63;HTR
54;1366;A30981;1366_A30981;HENDRIK SCHAEF;144;HTR
54;1367;KLAD01936;1367_KLAD01936;HENDRIK SCHAEF;128;HTR
54;1368;KLAD01978;1368_KLAD01978;HENDRIK SCHAEF;144;HTR
54;1369;A25702;1369_A25702;HENDRIK SCHAEF;142;HTR
54;1370;KLAD01948;1370_KLAD01948;HENDRIK SCHAEF;61;HTR
54;1371;KLAD01928;1371_KLAD01928;HENDRIK SCHAEF;141;HTR
54;1372;KLAD01927;1372_KLAD01927;HENDRIK SCHAEF;48;HTR
54;1374;KLAD02350;1374_KLAD02350;HENDRIK SCHAEF;105;HTR
54;1375;KLAD01555;1375_KLAD01555;HENDRIK SCHAEF;87;HTR
54;1376;KLAD01549;1376_KLAD01549;HENDRIK SCHAEF;75;HTR
54;1377;A20429;1377_A20429;HENDRIK SCHAEF;144;HTR
54;1378;A30705;1378_A30705;HENDRIK SCHAEF;119;HTR
54;1379;KLAD01539;1379_KLAD01539;HENDRIK SCHAEF;59;HTR
54;1380;KLAD01532;1380_KLAD01532;HENDRIK SCHAEF;85;HTR
54;1381;KLAD01557;1381_KLAD01557;HENDRIK SCHAEF;103;HTR
54;1382;A16415;1382_A16415;HENDRIK SCHAEF;70;HTR
54;1383;KLAD01545;1383_KLAD01545;HENDRIK SCHAEF;90;HTR
54;1384;A23539;1384_A23539;HENDRIK SCHAEF;123;HTR
54;1385;KLAD02331;1385_KLAD02331;HENDRIK SCHAEF;103;HTR
54;1386;KLAD02349;1386_KLAD02349;HENDRIK SCHAEF;95;HTR
54;1387;A31025;1387_A31025;HENDRIK SCHAEF;104;HTR
54;1388;KLAD02306;1388_KLAD02306;HENDRIK SCHAEF;94;HTR
54;1389;KLAD03198;1389_KLAD03198;HENDRIK SCHAEF;136;HTR
54;1390;KLAD03197;1390_KLAD03197;HENDRIK SCHAEF;101;HTR
54;1391;KLAD03196;1391_KLAD03196;HENDRIK SCHAEF;85;HTR
54;1392;KLAD03195;1392_KLAD03195;HENDRIK SCHAEF;124;HTR
54;1393;KLAD03194;1393_KLAD03194;HENDRIK SCHAEF;134;HTR
54;1394;KLAD03363;1394_KLAD03363;HENDRIK SCHAEF;77;HTR
54;1395;KLAD03391;1395_KLAD03391;HENDRIK SCHAEF;97;HTR
54;1396;KLAD03375;1396_KLAD03375;HENDRIK SCHAEF;98;HTR
54;1397;KLAD03352;1397_KLAD03352;HENDRIK SCHAEF;86;HTR
54;1398;KLAD03522;1398_KLAD03522;HENDRIK SCHAEF;102;HTR
54;1399;NOTD00099;1399_NOTD00099;HENDRIK SCHAEF;98;HTR
54;1400;NOTD00100;1400_NOTD00100;HENDRIK SCHAEF;65;HTR
54;1401;A31068;1401_A31068;HENDRIK SCHAEF;95;HTR
54;1402;KLAG05092;1402_KLAG05092;HENDRIK SCHAEF;43;HTR
54;1403;NOTD00101;1403_NOTD00101;HENDRIK SCHAEF;119;HTR
54;1404;NOTD00102;1404_NOTD00102;HENDRIK SCHAEF;29;HTR
54;1405;NOTD00103;1405_NOTD00103;HENDRIK SCHAEF;90;HTR
54;1406;NOTD00104;1406_NOTD00104;HENDRIK SCHAEF;71;HTR
57;1496;NOTJ01398;1496_NOTJ01398;GILLES BORSSELAER;83;GT
98;2278;A16097;2278_A16097;JACOB DE WINTER;229;HTR
98;2279;A20009;2279_A20009;JACOB DE WINTER;244;HTR
98;2280;A16099;2280_A16099;JACOB DE WINTER;286;HTR
98;2281;NOTD00185;2281_NOTD00185;JACOB DE WINTER;262;HTR
98;2282;A20713;2282_A20713;JACOB DE WINTER;242;HTR
98;2283;KLAD01654;2283_KLAD01654;JACOB DE WINTER;262;HTR
98;2284;NOTC00101;2284_NOTC00101;JACOB DE WINTER;281;HTR
98;2285;NOTD00186;2285_NOTD00186;JACOB DE WINTER;252;HTR
98;2286;NOTD00187;2286_NOTD00187;JACOB DE WINTER;262;HTR
98;2287;NOTD00188;2287_NOTD00188;JACOB DE WINTER;259;HTR
98;2288;NOTD00189;2288_NOTD00189;JACOB DE WINTER;258;HTR
98;2289;KLAB02710;2289_KLAB02710;JACOB DE WINTER;202;HTR
98;2290;A24452;2290_A24452;JACOB DE WINTER;200;HTR
98;2291;NOTD00190;2291_NOTD00190;JACOB DE WINTER;210;HTR
98;2292;KLAD02772;2292_KLAD02772;JACOB DE WINTER;216;HTR
98;2293;NOTD00191;2293_NOTD00191;JACOB DE WINTER;203;HTR
98;2294;NOTD00192;2294_NOTD00192;JACOB DE WINTER;230;HTR
98;2295;NOTD00193;2295_NOTD00193;JACOB DE WINTER;224;HTR
98;2296;A29075;2296_A29075;JACOB DE WINTER;209;HTR
98;2297;NOTD00194;2297_NOTD00194;JACOB DE WINTER;217;HTR
98;2298;NOTD00195;2298_NOTD00195;JACOB DE WINTER;235;HTR
98;2299;NOTD00196;2299_NOTD00196;JACOB DE WINTER;269;HTR
98;2300;A31799;2300_A31799;JACOB DE WINTER;231;HTR
98;2301;KLAC03415;2301_KLAC03415;JACOB DE WINTER;254;HTR
98;2302;NOTD00197;2302_NOTD00197;JACOB DE WINTER;285;HTR
98;2303;NOTD00198;2303_NOTD00198;JACOB DE WINTER;238;HTR
98;2304;NOTD00199;2304_NOTD00199;JACOB DE WINTER;214;HTR
98;2305;A34713;2305_A34713;JACOB DE WINTER;276;HTR
98;2306;NOTD00200;2306_NOTD00200;JACOB DE WINTER;275;HTR
98;2307;NOTD00201;2307_NOTD00201;JACOB DE WINTER;110;HTR
98;2308;NOTD00202;2308_NOTD00202;JACOB DE WINTER;259;HTR
98;2309;NOTD00203;2309_NOTD00203;JACOB DE WINTER;283;HTR
98;2310;NOTD00204;2310_NOTD00204;JACOB DE WINTER;350;HTR
98;2311;NOTD00205;2311_NOTD00205;JACOB DE WINTER;277;HTR
98;2312;NOTD00206;2312_NOTD00206;JACOB DE WINTER;183;HTR
98;2313;NOTD00207;2313_NOTD00207;JACOB DE WINTER;232;HTR
98;2314;NOTD00208;2314_NOTD00208;JACOB DE WINTER;237;HTR
98;2315;NOTD00209;2315_NOTD00209;JACOB DE WINTER;311;HTR
98;2316;A29605;2316_A29605;JACOB DE WINTER;225;HTR
98;2317;A29656;2317_A29656;JACOB DE WINTER;314;HTR
98;2318;A29123;2318_A29123;JACOB DE WINTER;284;HTR
98;2319;A34697;2319_A34697;JACOB DE WINTER;242;HTR
98;2320;A34715;2320_A34715;JACOB DE WINTER;278;HTR
98;2321;A35194;2321_A35194;JACOB DE WINTER;245;HTR
98;2322;A29087;2322_A29087;JACOB DE WINTER;214;HTR
98;2323;A28593;2323_A28593;JACOB DE WINTER;339;HTR
98;2324;KLAB08709;2324_KLAB08709;JACOB DE WINTER;292;HTR
98;2325;KLAB03356;2325_KLAB03356;JACOB DE WINTER;283;HTR
98;2326;KLAB03742;2326_KLAB03742;JACOB DE WINTER;238;HTR
98;2327;NOTD00210;2327_NOTD00210;JACOB DE WINTER;255;HTR
98;2328;NOTD00211;2328_NOTD00211;JACOB DE WINTER;248;HTR
98;2329;A34707;2329_A34707;JACOB DE WINTER;176;HTR
98;2330;NOTD00212;2330_NOTD00212;JACOB DE WINTER;284;HTR
98;2331;NOTD00213;2331_NOTD00213;JACOB DE WINTER;241;HTR
98;2332;NOTD00214;2332_NOTD00214;JACOB DE WINTER;293;HTR
98;2333;NOTD00215;2333_NOTD00215;JACOB DE WINTER;246;HTR
98;2334;NOTD00216;2334_NOTD00216;JACOB DE WINTER;159;HTR
98;2335;NOTD00217;2335_NOTD00217;JACOB DE WINTER;209;HTR
98;2336;NOTD00218;2336_NOTD00218;JACOB DE WINTER;182;HTR
98;2337;NOTD00219;2337_NOTD00219;JACOB DE WINTER;140;HTR
98;2338;NOTD00220;2338_NOTD00220;JACOB DE WINTER;204;HTR
98;2339;NOTD00221;2339_NOTD00221;JACOB DE WINTER;180;HTR
98;2340;NOTD00222;2340_NOTD00222;JACOB DE WINTER;159;HTR
98;2341;NOTD00223;2341_NOTD00223;JACOB DE WINTER;213;HTR
98;2342;NOTD00224;2342_NOTD00224;JACOB DE WINTER;211;HTR
98;2343;NOTD00225;2343_NOTD00225;JACOB DE WINTER;250;HTR
98;2344;NOTD00226;2344_NOTD00226;JACOB DE WINTER;246;HTR
98;2345;NOTD00227;2345_NOTD00227;JACOB DE WINTER;347;HTR
98;2346;NOTD00228;2346_NOTD00228;JACOB DE WINTER;356;HTR
98;2347;A33516;2347_A33516;JACOB DE WINTER;326;HTR
98;2348;NOTD00229;2348_NOTD00229;JACOB DE WINTER;259;HTR
98;2349;NOTD00230;2349_NOTD00230;JACOB DE WINTER;256;HTR
98;2350;NOTD00231;2350_NOTD00231;JACOB DE WINTER;203;HTR
98;2351;NOTD00232;2351_NOTD00232;JACOB DE WINTER;235;HTR
98;2352;NOTD00233;2352_NOTD00233;JACOB DE WINTER;217;HTR
98;2353;NOTD00234;2353_NOTD00234;JACOB DE WINTER;440;HTR
98;2354;NOTC00102;2354_NOTC00102;JACOB DE WINTER;76;HTR
98;2355;NOTD00235;2355_NOTD00235;JACOB DE WINTER;250;HTR
98;2356;KLAB07937;2356_KLAB07937;JACOB DE WINTER;249;HTR
98;2357;NOTD00236;2357_NOTD00236;JACOB DE WINTER;257;HTR
98;2358;KLAB08993;2358_KLAB08993;JACOB DE WINTER;290;HTR
98;2359;KLAB02344;2359_KLAB02344;JACOB DE WINTER;223;HTR
98;2360;NOTD00237;2360_NOTD00237;JACOB DE WINTER;189;HTR
98;2361;NOTD00238;2361_NOTD00238;JACOB DE WINTER;189;HTR
98;2362;NOTD00239;2362_NOTD00239;JACOB DE WINTER;95;HTR
98;2363;A32568;2363_A32568;JACOB DE WINTER;130;HTR
98;2364;A31967;2364_A31967;JACOB DE WINTER;115;HTR
98;2365;A29385;2365_A29385;JACOB DE WINTER;156;HTR
98;2366;NOTD00240;2366_NOTD00240;JACOB DE WINTER;191;HTR
98;2367;A31919;2367_A31919;JACOB DE WINTER;176;HTR
98;2368;NOTD00241;2368_NOTD00241;JACOB DE WINTER;164;HTR
98;2369;NOTD00242;2369_NOTD00242;JACOB DE WINTER;151;HTR
98;2370;NOTD00243;2370_NOTD00243;JACOB DE WINTER;111;HTR
98;2371;NOTD00244;2371_NOTD00244;JACOB DE WINTER;159;HTR
98;2372;NOTD00245;2372_NOTD00245;JACOB DE WINTER;233;HTR
98;2373;NOTD00246;2373_NOTD00246;JACOB DE WINTER;178;HTR
98;2374;A23382;2374_A23382;JACOB DE WINTER;410;HTR
98;2375;NOTD00247;2375_NOTD00247;JACOB DE WINTER;313;HTR
98;2376;NOTD00248;2376_NOTD00248;JACOB DE WINTER;429;HTR
98;2377;NOTD00249;2377_NOTD00249;JACOB DE WINTER;385;HTR
98;2378;A32533;2378_A32533;JACOB DE WINTER;362;HTR
98;2379;A29347;2379_A29347;JACOB DE WINTER;360;HTR
98;2380;KLAB06717;2380_KLAB06717;JACOB DE WINTER;471;HTR
98;2381;KLAL07785;2381_KLAL07785;JACOB DE WINTER;236;HTR
98;2382;A34709;2382_A34709;JACOB DE WINTER;261;HTR
98;2383;NOTD00251;2383_NOTD00251;JACOB DE WINTER;253;HTR
98;2384;NOTD00252;2384_NOTD00252;JACOB DE WINTER;247;HTR
98;2385;NOTD00253;2385_NOTD00253;JACOB DE WINTER;203;HTR
98;2386;NOTD00254;2386_NOTD00254;JACOB DE WINTER;245;HTR
98;2387;NOTD00255;2387_NOTD00255;JACOB DE WINTER;287;HTR
98;2388;NOTD00256;2388_NOTD00256;JACOB DE WINTER;183;HTR
98;2389;NOTD00257;2389_NOTD00257;JACOB DE WINTER;208;HTR
98;2390;NOTD00258;2390_NOTD00258;JACOB DE WINTER;208;HTR
98;2391;NOTD00259;2391_NOTD00259;JACOB DE WINTER;310;HTR
98;2392;NOTD00260;2392_NOTD00260;JACOB DE WINTER;172;HTR
98;2393;NOTD00261;2393_NOTD00261;JACOB DE WINTER;227;HTR
98;2394;NOTD00262;2394_NOTD00262;JACOB DE WINTER;158;HTR
98;2395;NOTD00263;2395_NOTD00263;JACOB DE WINTER;166;HTR
98;2396;NOTD00264;2396_NOTD00264;JACOB DE WINTER;296;HTR
98;2397;NOTD00265;2397_NOTD00265;JACOB DE WINTER;413;HTR
98;2398;A29600;2398_A29600;JACOB DE WINTER;49;HTR
98;2399;NOTG00007;2399_NOTG00007;JACOB DE WINTER;47;HTR
98;2400;NOTG00008;2400_NOTG00008;JACOB DE WINTER;54;HTR
98;2401;NOTG00009;2401_NOTG00009;JACOB DE WINTER;48;HTR
98;2402;A16096;2402_A16096;JACOB DE WINTER;213;HTR
98;2403;NOTD00266;2403_NOTD00266;JACOB DE WINTER;149;HTR
98;2404;NOTD00267;2404_NOTD00267;JACOB DE WINTER;71;HTR
98;2405;NOTD00268;2405_NOTD00268;JACOB DE WINTER;148;HTR
98;2406;NOTD00269;2406_NOTD00269;JACOB DE WINTER;134;HTR
98;2407;NOTD00270;2407_NOTD00270;JACOB DE WINTER;141;HTR
98;2408;A16098;2408_A16098;JACOB DE WINTER;601;GT
98;2409;A27338;2409_A27338;JACOB DE WINTER;473;GT
98;2410;A27318;2410_A27318;JACOB DE WINTER;617;GT
98;2413;KLAB06742;2413_KLAB06742;JACOB DE WINTER;555;GT
98;2414;A33443;2414_A33443;JACOB DE WINTER;381;GT
98;2415;NOTD00271;2415_NOTD00271;JACOB DE WINTER;375;HTR
98;2416;NOTD00272;2416_NOTD00272;JACOB DE WINTER;286;HTR
98;2417;NOTD00273;2417_NOTD00273;JACOB DE WINTER;273;HTR
98;2418;NOTD00274;2418_NOTD00274;JACOB DE WINTER;193;HTR
98;2419;NOTD00275;2419_NOTD00275;JACOB DE WINTER;184;HTR
131;3028;NOTI00200;3028_NOTI00200;HENRICK VENKEL;81;GT
136;3164;A27328;3164_A27328;JACOB PONDT;575;GT
152;3603;KLAB00114;3603_KLAB00114;ANTHONY VAN DE VEN;110;GT
174;4074;KLAB09735;4074_KLAB09735;DIRK VAN DER GROE;471;HTR
174;4075;NOTA00185;4075_NOTA00185;DIRK VAN DER GROE;493;HTR
174;4076;KLAB08543;4076_KLAB08543;DIRK VAN DER GROE;514;HTR
174;4077;NOTA00186;4077_NOTA00186;DIRK VAN DER GROE;549;HTR
174;4078;NOTA00187;4078_NOTA00187;DIRK VAN DER GROE;658;HTR
174;4079;NOTA00188;4079_NOTA00188;DIRK VAN DER GROE;601;HTR
174;4080;NOTA00189;4080_NOTA00189;DIRK VAN DER GROE;663;HTR
174;4081;NOTA00190;4081_NOTA00190;DIRK VAN DER GROE;700;HTR
174;4082;NOTA00191;4082_NOTA00191;DIRK VAN DER GROE;732;HTR
174;4083;A34485;4083_A34485;DIRK VAN DER GROE;632;HTR
174;4084;NOTA00192;4084_NOTA00192;DIRK VAN DER GROE;918;HTR
174;4085;NOTA00193;4085_NOTA00193;DIRK VAN DER GROE;787;HTR
174;4086;NOTA00194;4086_NOTA00194;DIRK VAN DER GROE;642;HTR
174;4087;NOTA00195;4087_NOTA00195;DIRK VAN DER GROE;486;HTR
174;4088;KLAB09783;4088_KLAB09783;DIRK VAN DER GROE;688;HTR
174;4089;NOTA00196;4089_NOTA00196;DIRK VAN DER GROE;413;HTR
174;4090;NOTA00197;4090_NOTA00197;DIRK VAN DER GROE;554;HTR
174;4092;NOTA00200;4092_NOTA00200;DIRK VAN DER GROE;543;HTR
174;4093;NOTA00201;4093_NOTA00201;DIRK VAN DER GROE;578;HTR
174;4094;NOTA00202;4094_NOTA00202;DIRK VAN DER GROE;555;HTR
174;4095;NOTA00203;4095_NOTA00203;DIRK VAN DER GROE;509;HTR
174;4096;NOTA00204;4096_NOTA00204;DIRK VAN DER GROE;640;HTR
174;4097;NOTA00205;4097_NOTA00205;DIRK VAN DER GROE;595;HTR
174;4098;NOTA00206;4098_NOTA00206;DIRK VAN DER GROE;674;HTR
174;4099;NOTA00207;4099_NOTA00207;DIRK VAN DER GROE;516;HTR
174;4101;A34483;4101_A34483;DIRK VAN DER GROE;657;HTR
174;4102;KLAB08488;4102_KLAB08488;DIRK VAN DER GROE;724;HTR
174;4104;A25517;4104_A25517;DIRK VAN DER GROE;648;HTR
174;4107;NOTA00217;4107_NOTA00217;DIRK VAN DER GROE;629;HTR
174;4108;NOTA00218;4108_NOTA00218;DIRK VAN DER GROE;694;HTR
174;4109;A27081;4109_A27081;DIRK VAN DER GROE;540;HTR
174;4113;NOTA00222;4113_NOTA00222;DIRK VAN DER GROE;511;HTR
174;4114;A25579;4114_A25579;DIRK VAN DER GROE;470;HTR
174;4115;NOTA00223;4115_NOTA00223;DIRK VAN DER GROE;387;HTR
174;4116;A25524;4116_A25524;DIRK VAN DER GROE;479;HTR
174;4117;KLAB01200;4117_KLAB01200;DIRK VAN DER GROE;400;HTR
174;4118;KLAB01196;4118_KLAB01196;DIRK VAN DER GROE;497;HTR
174;4119;NOTA00224;4119_NOTA00224;DIRK VAN DER GROE;514;HTR
174;4120;NOTA00225;4120_NOTA00225;DIRK VAN DER GROE;539;HTR
174;4121;NOTA00226;4121_NOTA00226;DIRK VAN DER GROE;532;HTR
174;4122;KLAB07550;4122_KLAB07550;DIRK VAN DER GROE;469;HTR
174;4123;A25555;4123_A25555;DIRK VAN DER GROE;503;HTR
174;4124;A25559;4124_A25559;DIRK VAN DER GROE;477;HTR
174;4125;NOTA00227;4125_NOTA00227;DIRK VAN DER GROE;448;HTR
174;4126;NOTA00228;4126_NOTA00228;DIRK VAN DER GROE;592;HTR
174;4127;NOTA00229;4127_NOTA00229;DIRK VAN DER GROE;460;HTR
174;4128;NOTA00230;4128_NOTA00230;DIRK VAN DER GROE;485;HTR
174;4129;NOTA00231;4129_NOTA00231;DIRK VAN DER GROE;509;HTR
174;4130;KLAB07553;4130_KLAB07553;DIRK VAN DER GROE;456;HTR
174;4131;A24996;4131_A24996;DIRK VAN DER GROE;413;HTR
174;4132;NOTA00232;4132_NOTA00232;DIRK VAN DER GROE;545;HTR
174;4133;NOTA00233;4133_NOTA00233;DIRK VAN DER GROE;490;HTR
174;4134;KLAB04631;4134_KLAB04631;DIRK VAN DER GROE;456;HTR
174;4135;NOTA00234;4135_NOTA00234;DIRK VAN DER GROE;632;HTR
174;4136;A33519;4136_A33519;DIRK VAN DER GROE;506;HTR
174;4137;NOTA00235;4137_NOTA00235;DIRK VAN DER GROE;397;HTR
174;4138;NOTA00236;4138_NOTA00236;DIRK VAN DER GROE;469;HTR
174;4139;NOTA00237;4139_NOTA00237;DIRK VAN DER GROE;487;HTR
174;4140;NOTA00238;4140_NOTA00238;DIRK VAN DER GROE;491;HTR
174;4141;NOTA00239;4141_NOTA00239;DIRK VAN DER GROE;509;HTR
174;4142;NOTA00240;4142_NOTA00240;DIRK VAN DER GROE;566;HTR
174;4143;NOTA00241;4143_NOTA00241;DIRK VAN DER GROE;418;HTR
174;4145;NOTA00244;4145_NOTA00244;DIRK VAN DER GROE;558;HTR
174;4146;NOTA00245;4146_NOTA00245;DIRK VAN DER GROE;437;HTR
174;4147;NOTA00246;4147_NOTA00246;DIRK VAN DER GROE;597;HTR
174;4148;NOTA00247;4148_NOTA00247;DIRK VAN DER GROE;621;HTR
174;4149;NOTA00248;4149_NOTA00248;DIRK VAN DER GROE;586;HTR
174;4150;NOTA00249;4150_NOTA00249;DIRK VAN DER GROE;490;HTR
174;4151;NOTA00250;4151_NOTA00250;DIRK VAN DER GROE;363;HTR
174;4153;NOTA00253;4153_NOTA00253;DIRK VAN DER GROE;492;HTR
174;4154;NOTA00254;4154_NOTA00254;DIRK VAN DER GROE;396;HTR
174;4155;NOTA00255;4155_NOTA00255;DIRK VAN DER GROE;488;HTR
174;4156;NOTA00256;4156_NOTA00256;DIRK VAN DER GROE;527;HTR
